cookie,lat,lon,impressions
wKgQaV0lHZanDrp,34.84545719131912,77.00974217045318,13
wKgQaV0lHZanDrp,31.865775698696453,114.66142704576193,1
rfTZLbQDwbu5mXV,41.14288927555091,74.03960020976238,20
rfTZLbQDwbu5mXV,40.91508467736225,81.44016068682514,33
rfTZLbQDwbu5mXV,36.615144302156665,119.22396850473118,4
r1CSY234HTYdvE3,42.67325463124646,73.45418567489767,4
r1CSY234HTYdvE3,35.631706115221114,120.55839210945517,5
20ep6ddsVckCmFy,42.34484784519387,70.73060762125648,21
20ep6ddsVckCmFy,41.50278333509432,74.10084966790272,5
20ep6ddsVckCmFy,29.897929907671024,117.5168397818249,1
Jga3f9JqZIuXBJ1,42.02471341300847,73.37406641003541,1
Jga3f9JqZIuXBJ1,37.35366239040078,75.35289351024348,17
Jga3f9JqZIuXBJ1,40.41444068492668,117.17995783523436,3
2THd1TMYVXjFLlI,42.870896815843615,71.74598887930041,11
2THd1TMYVXjFLlI,38.939103642958564,70.79322737905441,19
2THd1TMYVXjFLlI,41.72301088922031,120.02916103506898,9
RmBr0GvcnHepocE,40.0910056290305,77.04679844008076,1
RmBr0GvcnHepocE,33.33206294186839,117.9972147957418,2
6bNRJD0f8rrvNHZ,45.25816358644649,75.01053423648091,22
6bNRJD0f8rrvNHZ,34.94194864390259,116.98557851864375,1
o9EXMfVigHmaoQM,41.957409622738794,71.012949739499,12
o9EXMfVigHmaoQM,33.75029299763012,116.3010213167329,1
iLSH5Yhxsg5uf4q,40.4410725323729,75.13549799790776,5
iLSH5Yhxsg5uf4q,31.39928510257953,118.99370632387962,1
tmHEHROFGmji3zM,38.10651932019399,72.6460803521545,9
tmHEHROFGmji3zM,36.0730324607205,122.23750702301032,3
gjR5HgiHWtNZuqK,39.46784970089576,68.44853572542904,14
gjR5HgiHWtNZuqK,27.74267571133815,118.62862579497332,1
kdx8i3MJqLmDJV6,41.89876381130059,74.3702084659308,1
kdx8i3MJqLmDJV6,30.913359730734758,120.76009246824952,5
vypM7m3z6SSRvGZ,39.281305278188206,76.55900163191195,1
vypM7m3z6SSRvGZ,38.81022640397631,80.3352778949774,2
vypM7m3z6SSRvGZ,33.360206282074095,113.76530542322082,4
xq63eKSvrJFq5aL,40.467425801059214,76.92239200166064,24
xq63eKSvrJFq5aL,33.44854797897553,116.74257215126154,6
W4VBodItMK8475Q,33.29865459789822,79.07883676572338,21
W4VBodItMK8475Q,42.07159357247617,70.66098661573619,15
W4VBodItMK8475Q,33.04819858697454,119.09088998882972,1
ZFjrfbTYBxadHQ1,42.63435278464569,75.24578339208426,12
ZFjrfbTYBxadHQ1,40.13255266006208,80.62606952381091,3
ZFjrfbTYBxadHQ1,38.84990109994538,123.12859156878066,5
VAG5hYt89GntLYU,38.19017035637362,70.98580683065968,28
VAG5hYt89GntLYU,36.65343219453537,75.523703964141,10
VAG5hYt89GntLYU,31.719811787773715,119.53307264720554,8
9WNbUDJvypHi4JK,38.29656550403754,71.89480563541207,4
9WNbUDJvypHi4JK,34.26309985890189,115.4741318260587,3
cJ5FhIM6lXTIFFZ,42.750399543128715,79.29985506229521,6
cJ5FhIM6lXTIFFZ,32.32963603660528,117.27186028770326,1
zpTvRW58SN2CJ4E,42.51424005482464,77.92400571988486,14
zpTvRW58SN2CJ4E,45.13720938739328,72.59152856982195,13
zpTvRW58SN2CJ4E,33.1678138760985,121.50100670031453,1
UJlUVPXDc4OaWmn,46.06534017325017,76.83417540529052,16
UJlUVPXDc4OaWmn,31.151771201856807,119.38255137284382,6
dPWY5AiqqWVG3JJ,38.76828883962295,76.0046577847936,13
dPWY5AiqqWVG3JJ,32.03798955448682,119.42863066347898,1
9fMT2NB9DFWl4Ox,45.52330416337445,73.37704564350399,8
9fMT2NB9DFWl4Ox,38.99057650116756,119.23454470794675,3
t9QW1NCFCWbPOJt,45.47757230863664,74.10014143975448,1
t9QW1NCFCWbPOJt,35.59034646568444,119.15002035973416,1
c6tA8uzWFr9t1im,46.88856482708248,74.98337441650354,1
c6tA8uzWFr9t1im,39.566173873127156,72.3938941663294,9
c6tA8uzWFr9t1im,33.11323312383416,118.40319547905784,4
2ra0Q3AQp8qSlc9,44.981103032015376,75.66619211568921,4
2ra0Q3AQp8qSlc9,49.32323398368645,76.69864284030106,13
2ra0Q3AQp8qSlc9,32.767681083382996,116.95095318860415,1
jVVrUj6wCsWcTOs,40.86864875569457,74.1405030287907,1
jVVrUj6wCsWcTOs,36.544394874870065,115.85708900075494,4
qFmzD8NrgLmpvux,39.6078223358733,74.0267608098522,23
qFmzD8NrgLmpvux,39.00759429693639,76.67692921844932,8
qFmzD8NrgLmpvux,37.77885274311356,120.2106233329241,3
VsPopNiYNgrDuls,40.621326335804454,75.65856969313086,3
VsPopNiYNgrDuls,34.405404391915994,119.24807601190705,6
PU9OtYfnS2oOyCM,39.08808078350697,74.89098616330973,7
PU9OtYfnS2oOyCM,42.172775214486045,68.7716897537056,2
PU9OtYfnS2oOyCM,38.5839724867746,117.22679761629425,6
8lt5BpBLw2ahM1N,31.60987251262689,77.35198504729199,3
8lt5BpBLw2ahM1N,40.21109017089455,73.1905017545132,5
8lt5BpBLw2ahM1N,34.808198863882474,117.52362522689292,7
mG6WRTKprzaTokJ,45.59372683855843,77.46092430485861,1
mG6WRTKprzaTokJ,35.234830992634386,120.60794942748488,1
U3J2Nv1EKokw4XS,44.99567972454704,77.47735340859774,18
U3J2Nv1EKokw4XS,35.87438924290881,69.57930451433174,3
U3J2Nv1EKokw4XS,35.52319709700152,120.71031124333926,3
JCPgwGGXPFXINhC,45.245068850012295,73.55157993321566,18
JCPgwGGXPFXINhC,42.92927121526087,73.36871192716399,10
JCPgwGGXPFXINhC,34.49966900374812,117.81685427544153,5
1XmlUyrrVrBkiik,41.36988770662889,77.11634418908463,5
1XmlUyrrVrBkiik,44.008937956911865,74.50641845710227,9
1XmlUyrrVrBkiik,35.034987982061295,115.34078501830828,5
E2YwHbCRoKXzzEc,43.16911833971828,73.46634379667644,10
E2YwHbCRoKXzzEc,40.09398647268569,115.1367775893451,10
VwO5WFhxOooeCWb,38.502280096902645,69.58864704226642,16
VwO5WFhxOooeCWb,38.902905228149066,70.36410162415442,15
VwO5WFhxOooeCWb,32.045327069478255,120.48535632010649,3
MDJqzz1Lsf4QfCX,43.88718415487527,67.57799439164918,16
MDJqzz1Lsf4QfCX,36.926520995683255,70.31603471723017,9
MDJqzz1Lsf4QfCX,33.8589982885384,121.94186219742366,6
ehI13pvBcz8CEPr,41.43245538765947,69.3055998530301,1
ehI13pvBcz8CEPr,42.194374738259256,78.43379031375653,8
ehI13pvBcz8CEPr,35.70079462826834,118.72067652765327,2
vtfqDMpCBLrpRLN,39.90659655430141,68.64137757982607,5
vtfqDMpCBLrpRLN,44.13843428509494,76.47258111833536,5
vtfqDMpCBLrpRLN,27.841524105009476,117.01982411969584,1
7lf3IRE7hPAM18w,43.86365913505846,72.86020012012347,1
7lf3IRE7hPAM18w,43.27274676776785,73.7799972595112,21
7lf3IRE7hPAM18w,34.616965780915415,119.92573978839285,1
50SWlFbA9or3KUJ,39.721566393566846,71.79457201293863,9
50SWlFbA9or3KUJ,35.63395672804895,122.2251862628173,5
bCUamTnw4qIEZ4J,41.722174650349366,69.10757811278451,4
bCUamTnw4qIEZ4J,32.89774145564391,119.19356690895516,3
xwj65CbKrSuCygd,37.76259766710789,74.046282752899,5
xwj65CbKrSuCygd,38.0606162967084,74.84540514098397,14
xwj65CbKrSuCygd,35.87630495941373,123.48122395250675,3
Alq7HpCKRFcRgt8,42.29655919350841,74.77223613979247,3
Alq7HpCKRFcRgt8,45.23856767155747,76.43910727151267,4
Alq7HpCKRFcRgt8,34.8103599180372,112.1105434117822,6
KOHN2oFFdv7UBLQ,39.355923447886546,75.03187592347231,5
KOHN2oFFdv7UBLQ,35.89032189927602,117.50499434378175,3
kwad6cmTpUk95Cr,44.20887913698791,77.92971369095227,1
kwad6cmTpUk95Cr,32.76196057558112,116.24596850485163,3
QxJ8zBHwkPNOxRZ,37.54249920186919,74.74136340488405,15
QxJ8zBHwkPNOxRZ,38.558633531889896,118.97702705794671,4
v8EUlcsKj0KvYPr,42.05668074751025,76.93435650015421,1
v8EUlcsKj0KvYPr,39.606578655052544,118.65386286478501,3
9YYbK3joLYHQTGA,44.42538088153199,71.92835569380125,20
9YYbK3joLYHQTGA,38.37609281100565,121.1770080316613,2
fP8bh0C4xFuStUO,42.380338095232766,71.20810888690008,1
fP8bh0C4xFuStUO,32.682067608303925,117.77424718531712,3
